geo,year,life_expectancy
CZ,1988,71.8
CZ,1989,71.8
CZ,1990,71.5
CZ,1991,72.0
CZ,1992,72.4
CZ,1993,72.9
CZ,1994,73.2
CZ,1995,73.3
CZ,1996,74.0
CZ,1997,74.1
CZ,1998,74.7
CZ,1999,74.9
CZ,2000,75.1
CZ,2001,75.3
CZ,2002,75.4
CZ,2003,75.3
CZ,2004,75.9
CZ,2005,76.1
CZ,2006,76.7
CZ,2007,77.0
CZ,2008,77.3
CZ,2009,77.4
CZ,2010,77.7
CZ,2011,78.0
CZ,2012,78.1
CZ,2013,78.3
CZ,2014,78.9
CZ,2015,78.7
CZ,2016,79.1
CZ,2017,79.1
CZ,2018,79.1
CZ,2019,79.3
CZ,2020,78.3
CZ,2021,77.2
CZ,2022,79.0
CZ,2023,79.9
CZ,2024,80.1
DE,1960,
DE,1961,
DE,1962,
DE,1963,
DE,1964,
DE,1965,
DE,1966,
DE,1967,
DE,1968,
DE,1969,
DE,1970,
DE,1971,
DE,1972,
DE,1973,
DE,1974,
DE,1975,
DE,1976,
DE,1977,
DE,1978,
DE,1979,
DE,1980,
DE,1981,
DE,1982,
DE,1983,
DE,1984,
DE,1985,75.1
DE,1986,75.3
DE,1987,75.8
DE,1988,76.0
DE,1989,76.1
DE,1990,77.4
DE,1991,75.7
DE,1992,76.2
DE,1993,76.2
DE,1994,76.6
DE,1995,76.7
DE,1996,77.0
DE,1997,77.4
DE,1998,77.8
DE,1999,78.0
DE,2000,78.3
DE,2001,78.6
DE,2002,78.6
DE,2003,78.6
DE,2004,79.3
DE,2005,79.4
DE,2006,79.9
DE,2007,80.1
DE,2008,80.2
DE,2009,80.3
DE,2010,80.5
DE,2011,80.6
DE,2012,80.7
DE,2013,80.6
DE,2014,81.2
DE,2015,80.7
DE,2016,81.0
DE,2017,81.1
DE,2018,81.0
DE,2019,81.3
DE,2020,81.1
DE,2021,80.8
DE,2022,80.7
DE,2023,81.1
DE,2024,81.2
DK,1960,
DK,1961,
DK,1962,
DK,1963,
DK,1964,
DK,1965,
DK,1966,
DK,1967,
DK,1968,
DK,1969,
DK,1970,
DK,1971,
DK,1972,
DK,1973,
DK,1974,73.9
DK,1975,74.2
DK,1976,73.8
DK,1977,74.7
DK,1978,74.5
DK,1979,74.3
DK,1980,74.2
DK,1981,74.3
DK,1982,74.7
DK,1983,74.5
DK,1984,74.7
DK,1985,74.5
DK,1986,74.7
DK,1987,74.8
DK,1988,74.9
DK,1989,74.9
DK,1990,74.9
DK,1991,75.3
DK,1992,75.3
DK,1993,75.2
DK,1994,75.5
DK,1995,75.3
DK,1996,75.7
DK,1997,76.1
DK,1998,76.5
DK,1999,76.6
DK,2000,76.9
DK,2001,77.0
DK,2002,77.1
DK,2003,77.4
DK,2004,77.8
DK,2005,78.3
DK,2006,78.4
DK,2007,78.4
DK,2008,78.8
DK,2009,79.0
DK,2010,79.3
DK,2011,79.9
DK,2012,80.2
DK,2013,80.4
DK,2014,80.7
DK,2015,80.8
DK,2016,80.9
DK,2017,81.1
DK,2018,81.0
DK,2019,81.5
DK,2020,81.6
DK,2021,81.5
DK,2022,81.3
DK,2023,81.8
DK,2024,82.0
EE,1960,69.4
EE,1961,69.7
EE,1962,69.8
EE,1963,69.9
EE,1964,70.8
EE,1965,70.8
EE,1966,70.7
EE,1967,71.0
EE,1968,70.6
EE,1969,70.2
EE,1970,70.4
EE,1971,70.6
EE,1972,70.4
EE,1973,70.7
EE,1974,70.9
EE,1975,70.2
EE,1976,69.8
EE,1977,69.9
EE,1978,69.7
EE,1979,69.4
EE,1980,69.5
EE,1981,69.3
EE,1982,69.9
EE,1983,69.8
EE,1984,69.6
EE,1985,69.8
EE,1986,70.9
EE,1987,70.9
EE,1988,71.0
EE,1989,70.5
EE,1990,69.9
EE,1991,69.8
EE,1992,69.1
EE,1993,68.1
EE,1994,66.6
EE,1995,67.7
EE,1996,69.9
EE,1997,70.1
EE,1998,69.7
EE,1999,70.6
EE,2000,71.1
EE,2001,70.9
EE,2002,71.4
EE,2003,71.9
EE,2004,72.4
EE,2005,73.0
EE,2006,73.2
EE,2007,73.2
EE,2008,74.4
EE,2009,75.3
EE,2010,76.0
EE,2011,76.6
EE,2012,76.7
EE,2013,77.5
EE,2014,77.4
EE,2015,78.0
EE,2016,78.0
EE,2017,78.4
