geo,year,life_expectancy
RO,1972,69.2
RO,1973,68.8
RO,1974,69.7
RO,1975,69.8
RO,1976,70.0
RO,1977,69.8
RO,1978,69.8
RO,1979,69.5
RO,1980,69.2
RO,1981,69.5
RO,1982,69.8
RO,1983,69.8
RO,1984,69.8
RO,1985,69.3
RO,1986,69.7
RO,1987,69.0
RO,1988,69.4
RO,1989,69.7
RO,1990,69.9
RO,1991,70.1
RO,1992,69.5
RO,1993,69.5
RO,1994,69.4
RO,1995,69.3
RO,1996,68.8
RO,1997,69.1
RO,1998,69.9
RO,1999,70.6
RO,2000,71.2
RO,2001,71.1
RO,2002,70.9
RO,2003,71.0
RO,2004,71.4
RO,2005,71.9
RO,2006,72.5
RO,2007,73.1
RO,2008,73.5
RO,2009,73.7
RO,2010,73.7
RO,2011,74.4
RO,2012,74.4
RO,2013,75.1
RO,2014,75.0
RO,2015,74.9
RO,2016,75.2
RO,2017,75.2
RO,2018,75.3
RO,2019,75.6
RO,2020,74.2
RO,2021,72.8
RO,2022,75.1
RO,2023,76.4
RO,2024,76.5
SE,1960,
SE,1961,
SE,1962,
SE,1963,
SE,1964,
SE,1965,
SE,1966,
SE,1967,
SE,1968,74.0
SE,1969,74.1
SE,1970,74.7
SE,1971,74.7
SE,1972,74.8
SE,1973,74.9
SE,1974,75.0
SE,1975,75.0
SE,1976,75.0
SE,1977,75.5
SE,1978,75.5
SE,1979,75.6
SE,1980,75.8
SE,1981,76.1
SE,1982,76.4
SE,1983,76.7
SE,1984,76.9
SE,1985,76.8
SE,1986,77.0
SE,1987,77.2
SE,1988,77.1
SE,1989,77.8
SE,1990,77.7
SE,1991,77.8
SE,1992,78.2
SE,1993,78.2
SE,1994,78.9
SE,1995,79.0
SE,1996,79.2
SE,1997,79.4
SE,1998,79.5
SE,1999,79.6
SE,2000,79.8
SE,2001,79.9
SE,2002,80.0
SE,2003,80.3
SE,2004,80.7
SE,2005,80.7
SE,2006,81.0
SE,2007,81.1
SE,2008,81.3
SE,2009,81.5
SE,2010,81.6
SE,2011,81.9
SE,2012,81.8
SE,2013,82.0
SE,2014,82.3
SE,2015,82.2
SE,2016,82.4
SE,2017,82.5
SE,2018,82.6
SE,2019,83.2
SE,2020,82.4
SE,2021,83.1
SE,2022,83.1
SE,2023,83.4
SE,2024,83.8
SI,1960,
SI,1961,
SI,1962,
SI,1963,
SI,1964,
SI,1965,
SI,1966,
SI,1967,
SI,1968,
SI,1969,
SI,1970,
SI,1971,
SI,1972,
SI,1973,
SI,1974,
SI,1975,
SI,1976,
SI,1977,
SI,1978,
SI,1979,
SI,1980,
SI,1981,
SI,1982,71.2
SI,1983,71.0
SI,1984,71.4
SI,1985,71.9
SI,1986,72.5
SI,1987,72.4
SI,1988,73.1
SI,1989,73.5
SI,1990,73.9
SI,1991,73.6
SI,1992,73.7
SI,1993,73.6
SI,1994,74.0
SI,1995,74.7
SI,1996,75.2
SI,1997,75.2
SI,1998,75.3
SI,1999,75.7
SI,2000,76.2
SI,2001,76.4
SI,2002,76.6
SI,2003,76.4
SI,2004,77.2
SI,2005,77.5
SI,2006,78.3
SI,2007,78.4
SI,2008,79.1
SI,2009,79.4
SI,2010,79.8
SI,2011,80.1
SI,2012,80.3
SI,2013,80.5
SI,2014,81.2
SI,2015,80.9
SI,2016,81.2
SI,2017,81.2
SI,2018,81.5
SI,2019,81.6
SI,2020,80.6
SI,2021,80.7
SI,2022,81.3
SI,2023,82.0
SI,2024,82.1
SK,1960,70.3
SK,1961,70.9
SK,1962,70.4
SK,1963,70.8
SK,1964,71.2
SK,1965,70.4
SK,1966,70.5
SK,1967,71.1
SK,1968,70.6
SK,1969,70.0
SK,1970,69.8
SK,1971,69.9
SK,1972,70.3
SK,1973,70.0
SK,1974,70.2
SK,1975,70.3
SK,1976,70.5
SK,1977,70.4
SK,1978,70.5
SK,1979,70.8
SK,1980,70.4
SK,1981,70.7
SK,1982,70.9
SK,1983,70.6
SK,1984,70.8
SK,1985,70.9
SK,1986,71.1
SK,1987,71.3
SK,1988,71.4
SK,1989,71.2
SK,1990,71.1
SK,1991,71.1
SK,1992,71.5
SK,1993,72.0
SK,1994,72.5
SK,1995,72.4
SK,1996,72.9
SK,1997,72.9
SK,1998,72.8
SK,1999,73.2
SK,2000,73.3
SK,2001,73.6
SK,2002,73.8
SK,2003,73.8
SK,2004,74.2
SK,2005,74.1
SK,2006,74.5
SK,2007,74.6
SK,2008,74.9
SK,2009,75.3
SK,2010,75.6
SK,2011,76.1
SK,2012,76.3
SK,2013,76.6
SK,2014,77.0
SK,2015,76.7
SK,2016,77.3
SK,2017,77.3
SK,2018,77.4
SK,2019,77.8
SK,2020,77.0
SK,2021,74.6
SK,2022,77.0
SK,2023,78.2
SK,2024,78.4
