Year,Life Expectancy,Fertility Rate
1960,68.78571428571429,2.5959999999999996
1961,69.5,2.6242857142857146
1962,69.2375,2.607142857142857
1963,69.7,2.6407142857142856
1964,70.125,2.6585714285714284
1965,70.1375,2.587857142857142
1966,70.1875,2.5414285714285714
1967,70.25,2.4680000000000004
1968,70.34,2.40125
1969,70.09,2.369375
1970,70.48333333333333,2.321764705882353
1971,70.55384615384615,2.3338888888888887
1972,70.92307692307692,2.2688888888888887
1973,70.93076923076923,2.2094444444444448
1974,71.32857142857144,2.233888888888889
1975,71.45333333333333,2.2057894736842103
1976,71.58666666666666,2.1647368421052633
1977,71.8875,2.114
1978,71.84375,2.0629999999999997
1979,72.1125,2.032
1980,72.08235294117648,1.9815
1981,72.34705882352942,1.9245
1982,72.61176470588236,1.9176190476190471
1983,72.56470588235294,1.8733333333333335
1984,72.75294117647059,1.86
1985,73.24,1.8304545454545451
1986,73.64761904761905,1.8268181818181817
1987,73.82380952380952,1.805
1988,74.03809523809524,1.818181818181818
1989,74.0952380952381,1.7854545454545454
1990,74.04545454545455,1.79
1991,74.00454545454545,1.7495652173913043
1992,74.14545454545454,1.7204347826086956
1993,74.28695652173913,1.6486956521739131
1994,74.53478260869565,1.588695652173913
1995,74.80833333333334,1.5217391304347827
1996,75.15416666666667,1.5086956521739132
1997,75.41666666666667,1.48
1998,75.71600000000001,1.4695833333333337
1999,75.996,1.465
2000,76.324,1.4723076923076923
2001,76.53461538461539,1.4362962962962964
2002,76.41111111111111,1.4359259259259258
2003,76.5037037037037,1.4496296296296296
2004,77.03333333333333,1.4703703703703703
2005,77.10740740740741,1.4862962962962964
2006,77.52592592592592,1.5166666666666668
2007,77.67777777777779,1.537037037037037
2008,78.1,1.5933333333333335
2009,78.41851851851852,1.5918518518518516
2010,78.74444444444444,1.587037037037037
2011,79.07777777777777,1.544074074074074
2012,79.07307692307693,1.5448148148148149
2013,79.53703703703704,1.5188888888888887
2014,79.82962962962964,1.5422222222222222
2015,79.68148148148148,1.5466666666666666
2016,80.02222222222223,1.57
2017,80.03703703703704,1.558148148148148
2018,80.17037037037036,1.5470370370370372
2019,80.47407407407408,1.5314814814814814
2020,79.7074074074074,1.512222222222222
2021,79.17407407407407,1.541851851851852
2022,79.9074074074074,1.4548148148148148
2023,80.73703703703704,1.392962962962963
2024,80.8851851851852,1.3455555555555554
