Country,Median Age
IT,49.1
BG,47.3
PT,47.3
EL,47.2
ES,45.8
SI,45.5
DE,45.5
HR,45.5
HU,44.8
LV,44.4
CZ,44.3
LT,44.3
RO,44.1
AT,43.8
FI,43.5
PL,43.4
SK,43.0
EE,42.9
FR,42.8
NL,42.6
DK,42.2
BE,42.1
SE,41.2
CY,41.0
MT,40.0
LU,39.8
IE,39.6
