Country,Dependency Ratio
IT,71.3
BG,75.6
PT,72.1
EL,72.2
ES,64.3
SI,71.6
DE,70.6
HR,72.8
HU,67.8
LV,73.7
CZ,72.0
LT,66.6
RO,71.0
AT,65.1
FI,78.0
PL,69.4
SK,65.8
EE,73.2
FR,80.6
NL,70.7
DK,73.2
BE,73.1
SE,77.1
CY,62.2
MT,52.8
LU,56.6
IE,69.2
