Year,Natural Growth Rate,Net Migration Rate
1960,9.176748272961326,-0.8640000000000003
1961,9.068914660642486,-1.326923076923077
1962,8.20957290169498,-0.8961538461538462
1963,8.416522369333855,-0.36538461538461536
1964,8.528507629606459,-0.6961538461538462
1965,7.860713041341089,-1.0423076923076922
1966,7.636817300700715,-1.0692307692307692
1967,7.643701867388547,-1.130769230769231
1968,7.172553496710516,-1.78
1969,6.51225194539683,-1.7280000000000002
1970,6.191301607498671,-1.5346153846153845
1971,6.340010209588027,0.588
1972,6.091440488887851,0.932
1973,5.803876358630508,0.848
1974,5.9920382511947805,0.3720000000000001
1975,5.579782181906918,2.453846153846154
1976,5.707926315370057,0.52
1977,5.568861724063632,0.912
1978,5.149664099032076,0.7559999999999999
1979,5.135720079610461,0.3559999999999999
1980,4.311099142177389,0.9538461538461538
1981,4.300238188542781,0.5
1982,4.28940836031502,0.932
1983,3.4818712849266857,-0.31538461538461526
1984,3.4592161955417184,0.3692307692307692
1985,2.99871019597408,1.0384615384615385
1986,3.1452562895204306,1.5
1987,2.9662822010181973,0.7038461538461539
1988,3.0655735653102476,0.8307692307692308
1989,2.7323972036551014,-0.196153846153846
1990,2.5303167718463837,1.65
1991,2.0820159028858907,-0.6153846153846154
1992,1.8169024645774465,-0.2000000000000002
1993,1.1286350438124229,1.5076923076923079
1994,0.8067092402610411,0.9384615384615385
1995,0.3298087857071961,0.40384615384615385
1996,0.3851192074170636,0.5961538461538461
1997,0.255131592698396,1.2269230769230768
1998,0.09863132324030036,1.137037037037037
1999,0.11982217342339009,2.574074074074074
2000,0.37534772337918565,1.0333333333333334
2001,0.1426420524987343,0.28888888888888886
2002,-0.020889796396407596,2.274074074074074
2003,-0.09227129777845706,2.5888888888888886
2004,0.3748610856734011,2.325925925925926
2005,0.2349287347871093,2.4296296296296296
2006,0.5056006246915744,2.785185185185185
2007,0.5183679111113891,3.2111111111111112
2008,0.9589229025501766,3.0296296296296297
2009,0.9157920351021912,1.6407407407407406
2010,0.8024194981035466,0.4370370370370373
2011,0.5113759117965051,1.5222222222222224
2012,0.18906326454518946,1.085185185185185
2013,0.01266086830024825,0.42962962962962964
2014,0.1409307586129341,1.774074074074074
2015,-0.32156127192177164,2.5407407407407407
2016,-0.09711370502753264,2.1814814814814816
2017,-0.5223879574922509,2.8814814814814813
2018,-0.7283049020607361,4.362962962962963
2019,-0.8061116437860134,5.1000000000000005
2020,-2.0660407365295317,2.3407407407407406
2021,-2.7133599362608702,3.811111111111111
2022,-2.5768897318197554,11.814814814814815
2023,-2.1723009922048213,8.303703703703704
2024,-2.3890902454924015,6.181481481481482
