geo,year,fertility_rate
RO,2010,1.59
RO,2011,1.47
RO,2012,1.52
RO,2013,1.46
RO,2014,1.56
RO,2015,1.62
RO,2016,1.69
RO,2017,1.78
RO,2018,1.76
RO,2019,1.77
RO,2020,1.8
RO,2021,1.81
RO,2022,1.71
RO,2023,1.54
RO,2024,1.39
SE,1960,
SE,1961,
SE,1962,
SE,1963,
SE,1964,
SE,1965,
SE,1966,
SE,1967,
SE,1968,2.07
SE,1969,1.93
SE,1970,1.92
SE,1971,1.96
SE,1972,1.91
SE,1973,1.87
SE,1974,1.87
SE,1975,1.77
SE,1976,1.68
SE,1977,1.64
SE,1978,1.6
SE,1979,1.66
SE,1980,1.68
SE,1981,1.63
SE,1982,1.62
SE,1983,1.61
SE,1984,1.66
SE,1985,1.74
SE,1986,1.8
SE,1987,1.84
SE,1988,1.96
SE,1989,2.01
SE,1990,2.13
SE,1991,2.11
SE,1992,2.09
SE,1993,1.99
SE,1994,1.88
SE,1995,1.73
SE,1996,1.6
SE,1997,1.52
SE,1998,1.5
SE,1999,1.5
SE,2000,1.54
SE,2001,1.57
SE,2002,1.65
SE,2003,1.71
SE,2004,1.75
SE,2005,1.77
SE,2006,1.85
SE,2007,1.88
SE,2008,1.91
SE,2009,1.94
SE,2010,1.98
SE,2011,1.9
SE,2012,1.91
SE,2013,1.89
SE,2014,1.88
SE,2015,1.85
SE,2016,1.85
SE,2017,1.78
SE,2018,1.76
SE,2019,1.71
SE,2020,1.67
SE,2021,1.67
SE,2022,1.53
SE,2023,1.45
SE,2024,1.43
SI,1960,
SI,1961,
SI,1962,
SI,1963,
SI,1964,
SI,1965,
SI,1966,
SI,1967,
SI,1968,
SI,1969,
SI,1970,
SI,1971,
SI,1972,
SI,1973,
SI,1974,
SI,1975,
SI,1976,
SI,1977,
SI,1978,
SI,1979,
SI,1980,
SI,1981,
SI,1982,1.93
SI,1983,1.81
SI,1984,1.74
SI,1985,1.71
SI,1986,1.67
SI,1987,1.65
SI,1988,1.63
SI,1989,1.52
SI,1990,1.46
SI,1991,1.42
SI,1992,1.33
SI,1993,1.33
SI,1994,1.32
SI,1995,1.29
SI,1996,1.28
SI,1997,1.25
SI,1998,1.23
SI,1999,1.21
SI,2000,1.26
SI,2001,1.21
SI,2002,1.21
SI,2003,1.2
SI,2004,1.25
SI,2005,1.26
SI,2006,1.31
SI,2007,1.38
SI,2008,1.53
SI,2009,1.53
SI,2010,1.57
SI,2011,1.56
SI,2012,1.58
SI,2013,1.55
SI,2014,1.58
SI,2015,1.57
SI,2016,1.58
SI,2017,1.62
SI,2018,1.6
SI,2019,1.61
SI,2020,1.59
SI,2021,1.64
SI,2022,1.55
SI,2023,1.51
SI,2024,1.52
SK,1960,3.04
SK,1961,2.96
SK,1962,2.83
SK,1963,2.92
SK,1964,2.89
SK,1965,2.78
SK,1966,2.66
SK,1967,2.48
SK,1968,2.39
SK,1969,2.43
SK,1970,2.41
SK,1971,2.43
SK,1972,2.49
SK,1973,2.56
SK,1974,2.61
SK,1975,2.55
SK,1976,2.55
SK,1977,2.49
SK,1978,2.47
SK,1979,2.45
SK,1980,2.32
SK,1981,2.29
SK,1982,2.28
SK,1983,2.28
SK,1984,2.26
SK,1985,2.26
SK,1986,2.2
SK,1987,2.14
SK,1988,2.13
SK,1989,2.07
SK,1990,2.09
SK,1991,2.05
SK,1992,1.93
SK,1993,1.87
SK,1994,1.67
SK,1995,1.52
SK,1996,1.47
SK,1997,1.43
SK,1998,1.37
SK,1999,1.33
SK,2000,1.3
SK,2001,1.2
SK,2002,1.19
SK,2003,1.2
SK,2004,1.25
SK,2005,1.27
SK,2006,1.25
SK,2007,1.27
SK,2008,1.34
SK,2009,1.44
SK,2010,1.43
SK,2011,1.45
SK,2012,1.34
SK,2013,1.34
SK,2014,1.37
SK,2015,1.4
SK,2016,1.48
SK,2017,1.52
SK,2018,1.54
SK,2019,1.57
SK,2020,1.59
SK,2021,1.63
SK,2022,1.57
SK,2023,1.49
SK,2024,1.46
