freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NR,F,TOTAL,AD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20898 	22148 	22814 	23813 	24171 	25542 	27572 	28864 	30406 	30228 	30200 	30627 	31025 	31384 	31538 	31576 	31915 	32354 	34738 	36790.0 	37575.0 	38705.0 	39622.0 	40303.0 	40296.0 	38252 	38252 	37408 	: 	: 	: 	: 	: 	37388 	: 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1526762 	1535822 	1532563 	1526180 	1520481 	1512745.0 	1503969.0 	1492439.0 	1480358.0 	1468935.0 	1459025.0 	1451691 	1444234 	1437193 	1430827 	1424597 	1417141 	1423050 	1431715 	1432833 	1425342 	1419759 	: 	1394864 	: 	1194597 
A,NR,F,TOTAL,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1681200 	1672200 	1670500 	1666700 	1665500 	1665200.0 	1665123.0 	1665554.0 	1667529.0 	1669711.0 	1673656.0 	1679066 	1684000 	: 	: 	1571450 	1569535 	1567380 	1564533 	1563538 	1562689 	1565144 	: 	: 	1577675 	: 
A,NR,F,TOTAL,AT	3757167 	3773097 	3794130 	3814191 	3836415 	3857760 	3876559 	3899799 	3922359 	3932691 	3944298 	3953827 	3972070 	3990665 	4006377 	4003303 	3992886 	3992437 	3994255 	3985363 	3981359 	3983154 	3993808 	3981596 	3976213 	3975117 	3972356 	3970653 	3967609 	3971179 	3989903 	4014682 	4052348 	4089274 	4107857 	4112289 	4116117 	4120947 	4122811 	4126432 	4133855 	4139842 	4156906 	4170674 	4189973 	4216493.0 	4239954.0 	4252922.0 	4265500.0 	4278068.0 	4285442.0 	4296293 	4309977 	4328238 	4352447 	4384529 	4427918 	4460424 	4483749 	4501742 	4522292 	4535712 	4553444 	4619957 	4643918 	4664333 
A,NR,F,TOTAL,AZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4097900 	4126500 	4152600 	4179500 	4207200 	4243600.0 	4284200.0 	4327700.0 	4371800.0 	4538600.0 	4542083.0 	4594023 	4651601 	4707690 	4763571 	4817181 	4870002 	4918771 	4960058 	4999053 	5039100 	5065288 	5081846 	5087516 	5113564 	5135511 
A,NR,F,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1922585 	: 	: 	1914073 e	1932756 e	1944715 e	1953478 e	1957082 e	1959692.0 e	1959752.0 	1960449.0 	1960361.0 	1965986.0 	1966011.0 	1965701 	1963655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,BE	4650891 	4680332 	4692881 	4721909 	4757001 	4800240 	4837409 	4868944 	4897385 	4914120 	4930511 	4929078 	4950716 	4966920 	4982187 	4996106 	5007918 	5014837 	5023356 	5027912 	5036166 	5041979 	5042116 	5044878 	5043503 	5046163 	5046712 	5048517 	5053913 	5078668 	5087683 	5106290 	5122765 	5144847 	5160407 	5175903 	5184262 	5198446 	5209592 	5220034 	5233071 	5245395 	5267437 	5288959 	5309245 	5334527.0 	5367561.0 	5403126.0 	5442557.0 	5484429.0 	5527684.0 	5598920 b	5635601 b	5665118 	5687048 	5713206 	5741853 	5762455 	5784371 	5810693 	5841215 	5854293 	5883978 	5946649 	5981093 	6012626 
A,NR,F,TOTAL,BG	3921043 	3958593 	3995543 	4027480 	4059726 	4092536 	4114958 	4142041 	4167280 	4201969 	4232840 	4258313 	4280930 	4300053 	4327798 	4360061 	4371919 	4400441 	4420915 	4414767 	4437268 	4454938 	4471841 	4486480 	4500629 	4514813 	4516402 	4529072 	4538312 	4547303 	4443535 	4399271 	4366016 	4315730 	4308125 	4297452 	4281347 	4263435 	4238235 	4216300 	4199715 	4182045 	4035676 	4003292 	3973019 	3944453.0 	3914757.0 	3886094.0 	3857635.0 	3831264.0 	3807808.0 	3780505 	3760457 	3701945 	3662824 	3621883 	3578998 	3537549 	3494184 	3450251 	3405861 	3389807 	3364303 	3348207 	3347783 	3342220 
A,NR,F,TOTAL,BY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5316268 	5302718 	5284465 	5260849 	5238879 	5216991.0 	5195244.0 	5179429.0 	5168358.0 	5160289.0 	5063266.0 	5073034 	5066857 	5066314 	5066943 	5071671 	5077522 	5078185 	5070289 	5059429 	: 	: 	: 	: 	: 	: 
A,NR,F,TOTAL,CH	2730400 	2762955 	2835874 	2899101 	2952274 	2990789 	3016742 	3049556 	3087845 	3123083 	3154705 	3167724 	3188388 	3217328 	3239574 	3256587 	3241162 	3224164 	3222954 	3227625 	3237338 	3253278 	3271087 	3288680 	3297473 	3310638 	3324453 	3343502 	3364945 	3391052 	3416313 	3460226 	3501103 	3534043 	3564707 	3590651 	3613512 	3623725 	3631222 	3644848 	3663736 	3684357 	3711304 	3738824 	3762609 	3786406.0 	3806626.0 	3829380.0 	3866480.0 	3915181.0 	3955240.0 	3992708 b	4032409 	4070536 	4117540 	4163786 	4205655 	4246113 	4277696 	4307406 	4337170 	4367701 	4400588 	4435432 	4510726 	4550640 
