freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,EUR_HAB_KP10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	585.04 e	598.7 e	590.3 e	578.19 e	558.74 e	565.98 e	582.95 e	583.9 e	620.54 e	640.46 e	672.02 e	709.23 e	743.29 	755.81 e	741.56 	779.31 
A,OLD,TOTAL,EUR_HAB_KP10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	464.13 	462.64 	480.81 	515.34 	549.25 	574.07 	608.6 	642.24 	659.11 	688.51 	662.32 	677.47 	710.44 	740.86 	788.48 	791.12 	802.54 b	809.33 	804.11 	803.9 	791.59 	826.41 	823.78 	824.86 	883.19 
A,OLD,TOTAL,EUR_HAB_KP10,IE	: 	: 	: 	: 	: 	529.13 	497.53 	505.73 	523.89 	534.62 	1192.78 b	1251.64 	1179.22 	1145.01 	1344.41 	1431.45 	1519.55 	1765.33 	1857.18 	2018.61 	2322.51 	2304.25 	2418.66 	2394.75 	2409.06 	2458.55 	2463.01 	2563.55 	2555.01 	2660.28 	2676.61 	2711.09 	2545.51 	2558.13 
A,OLD,TOTAL,EUR_HAB_KP10,IS	: 	: 	: 	: 	: 	873.09 	890.96 	945.73 	1031.39 	1084.64 	1144.47 	1150.92 	1210.98 	1314.19 	1321.18 	1381.29 	1397.97 	1519.19 	1503.11 	1459.96 	1386.23 	1602.62 	1630.37 	1678.03 	1802.11 	1893.02 	2052.69 	2352.29 	2441.18 	2541.57 	2747.65 	2705.64 	2618.72 	2781.24 
A,OLD,TOTAL,EUR_HAB_KP10,IT	: 	: 	: 	: 	: 	1728.8 	1914.57 	2018.15 	2065.51 	2135.79 	2151.59 	2195.04 	2231.53 	2252.58 	2267.17 	2275.32 	2281.21 	2332.04 	2350.53 	2458.92 	2493.09 	2540.28 	2591.97 	2708.89 	2806.41 	2916.1 	2952.39 	2987.61 	3017.83 	2881.51 	2968.15 	3017.73 p	2992.22 p	3117.71 p
A,OLD,TOTAL,EUR_HAB_KP10,LT	: 	: 	: 	: 	: 	: 	227.17 e	257.8 e	289.88 e	321.21 e	334.33 e	322.6 e	330.26 e	352.79 e	380.87 e	418.85 e	444.04 e	523.29 e	604.12 e	625.72 e	586.98 e	582.48 e	615.19 e	620.84 e	625.44 e	638.58 e	661.26 e	689.47 e	759.4 e	794.33 e	840.12 p	867.86 p	838.33 	857.86 
A,OLD,TOTAL,EUR_HAB_KP10,LU	: 	: 	: 	: 	: 	4156.77 	4181.94 	4363.8 	4324.52 	4379.4 	4404.69 	2581.35 	2748.53 	2868.67 	2892.38 	2984.45 	3026.74 	3046.06 	3082.23 	3285.2 	3267.23 	3320.91 	3422.8 	3546.66 	3781.78 	4071.16 	4132.52 	4276.68 	4391.31 	4535.06 	4786.82 	5014.85 	5043.89 	5330.56 
A,OLD,TOTAL,EUR_HAB_KP10,LV	: 	: 	: 	: 	: 	: 	: 	333.05 e	375.48 e	422.73 e	403.04 e	391.57 e	406.37 e	396.74 e	393.09 e	414.51 e	468.19 e	482.31 e	523.42 e	599.65 e	739.94 e	698.31 e	714.12 e	738.93 e	736.2 e	745.78 e	762.43 e	778.79 e	824.29 e	834.33 p	887.7 p	902.06 p	897.33 e	945.79 e
A,OLD,TOTAL,EUR_HAB_KP10,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	347.67 	354.26 	364.78 	374.43 	379.82 	384.89 	384.34 	408.67 p
A,OLD,TOTAL,EUR_HAB_KP10,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	213.13 	229.16 	246.53 	: 	: 	: 	: 	: 	: 
A,OLD,TOTAL,EUR_HAB_KP10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	735.24 	804.69 	812.42 	828.33 	823.22 	874.64 	912.86 	959.08 	1010.4 	1051.1 	1149.19 	1116.2 	1151.82 	1158.67 	1174.13 	1173.7 	1217.4 	1255.2 	1235.34 	1202.61 	1229.07 	1277.34 	1236.87 	1184.28 
A,OLD,TOTAL,EUR_HAB_KP10,NL	: 	: 	: 	: 	: 	2149.99 	2186.9 	2222.95 	2322.58 	2412.08 	2499.54 	2547.95 	2643.13 	2723.53 	2785.45 	2796.62 	2915.92 	2965.46 	2971.14 	3096.37 	3218.76 	3238.24 	3273.87 	3279.93 	3406.83 	3578.61 	3622.43 	3636.15 	3632.36 	3682.01 	3778.33 	3751.79 	3577.84 	3678.39 
A,OLD,TOTAL,EUR_HAB_KP10,NO	2030.43 	2081.38 	2133.48 	2167.44 	2206.44 	2235.25 	2310.85 	2370.23 	2500.3 	2577.93 	2604.28 	2643.8 	2682.94 	2765.2 	2846.07 	2969.57 	3045.94 	3183.35 	3319.22 	3419.07 	3539.43 	3822.28 	4112.88 	4327.44 	4575.87 	4722.28 	4818.91 	4894.85 	4963.53 	5048.72 	5073.63 	5212.22 	5224.57 	5314.59 
A,OLD,TOTAL,EUR_HAB_KP10,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	427.54 	466.12 	474.34 	492.86 	496.92 	499.26 	536.35 	545.41 	571.06 	628.1 	660.01 	684.56 	734.91 	795.31 	828.44 	871.17 	909.27 	928.3 	1011.33 	1077.16 	1143.85 	1177.69 	1155.12 	1277.8 
A,OLD,TOTAL,EUR_HAB_KP10,PT	: 	: 	: 	: 	: 	802.29 	845.99 	862.75 	928.12 	995.58 	1059.67 	1127.77 	1172.81 	1213.06 	1302.93 	1373.11 	1409.6 	1436.53 	1499.38 	1610.85 	1639.4 	1697.58 	1670.91 	1819.23 	1846.56 	1817.84 	1832.91 	1845.78 	1881.08 	1921.05 	1954.02 	1955.43 	1948.19 	1934.08 
A,OLD,TOTAL,EUR_HAB_KP10,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	147.54 e	161.3 e	186.72 e	182.65 e	209.46 e	228.47 e	249.9 e	303.85 e	402.69 e	470.13 e	461.74 e	469.65 e	463.87 e	472.69 e	489.75 e	513.19 e	536.83 	597.34 	630.78 	658.89 	750.23 	795.41 	783.04 	805.11 
A,OLD,TOTAL,EUR_HAB_KP10,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	368.38 	401.21 	381.75 	380.38 	403.88 	403.63 	407.64 	391.72 	389.14 	380.14 	396.56 	410.99 	424.28 	422.54 	401.65 	440.78 
