freq,spdepb,spdepm,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,OLD,TOTAL,EUR_HAB_KP15,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158.25 e	173 e	200.27 e	195.9 e	224.66 e	245.06 e	268.04 e	325.9 e	431.92 e	504.25 e	495.25 e	503.73 e	497.54 e	507 e	525.3 e	550.44 e	575.79 	640.69 	676.56 	706.72 	804.69 	853.15 	839.87 	863.55 
A,OLD,TOTAL,EUR_HAB_KP15,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	411.41 	448.07 	426.34 	424.8 	451.05 	450.77 	455.25 	437.47 	434.6 	424.53 	442.88 	458.99 	473.84 	471.89 	448.56 	492.26 
A,OLD,TOTAL,EUR_HAB_KP15,SE	: 	: 	: 	2977.17 	2953.4 	2933.66 	2950.67 	2982.82 	2993.52 	2997.32 	2991.92 	2977.14 b	3070.33 p	3000.51 p	3045.56 p	3153.71 p	3193.05 p	3266.78 p	3478.36 p	3688.83 p	3735.91 	3842.93 	4008.47 	4234.05 	4203.48 	4290.75 	4378.38 	4398.87 p	4353.1 p	4353.66 p	4455.39 p	4511.54 p	4575.98 p	4494.31 p
A,OLD,TOTAL,EUR_HAB_KP15,SI	: 	: 	: 	: 	: 	: 	885.97 	944.33 	1004.32 	1007.46 	1053.03 	1095.67 	1160.45 	1188.98 	1231.78 	1100.18 	967.89 	1026.77 	1018.66 	1111.53 	1118.06 	1133.88 	1128.22 	1162.74 	1206.95 	1263.01 	1317.53 	1554.58 	1603.92 	1646.98 	1738.61 p	1779.31 p	1796.5 	1782.09 
A,OLD,TOTAL,EUR_HAB_KP15,SK	: 	: 	: 	: 	: 	410.1 	432.36 	462.17 	491.03 	487.65 	502.47 	523.37 	559.91 	577.01 	599.82 	636.77 	651.73 	694.91 	706.43 	750.53 	775.51 	780.33 	800.44 	827.96 	891.18 	929.38 	937.83 	968.47 	998.8 	1027.77 	1065.19 	1081.57 	1014.2 	1115.31 
A,OLD,TOTAL,EUR_HAB_KP15,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	169.11 	181.37 	203.19 	252.09 	292.93 	321.77 	342.81 	377.79 	375.47 	427 	448.04 	459.35 	482.99 	508.38 	523.56 	544.66 	608.01 	595.06 	620.69 	601.73 	593.73 	570.38 	502.78 	624.95 
A,OLD,TOTAL,EUR_HAB_KP15,UK	: 	: 	: 	: 	: 	2240.06 	2321.86 	2478.17 	2485.99 	2625.65 	2910.59 	2915.2 	2842.34 	2919.75 	2989.47 	3108.3 	3164.45 	3364.73 	3426.29 	3616.45 	3722.24 	3753.82 	3915.61 	3960.36 	3990.37 	4073.32 	3886.83 	4068.82 	4077.75 p	: 	: 	: 	: 	: 
A,OLD,TOTAL,MEUR_KP10,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	579.9 p	611.14 p	612.8 p	666.02 p	646.25 	: 
A,OLD,TOTAL,MEUR_KP10,AT	: 	: 	: 	: 	: 	18583.44 	19076.41 	19281.69 	19850.88 	20836.13 	21609.99 	22069.41 	22555.14 	23208.51 	23771.53 	24340.35 	25331.98 	26115.77 	27152.01 	28306.79 	28910.4 	29020.48 	29892.8 	30713.5 	31785.25 	32577.96 	33135.18 	33636.29 	34331.34 	35869.51 	36393.44 	37585.84 	37273.79 	37836.05 
A,OLD,TOTAL,MEUR_KP10,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	737.52 	799.52 	842.88 	837.23 	831.13 	965.54 	1020.38 	1076.14 	1104.99 	1075.77 	1227.63 
A,OLD,TOTAL,MEUR_KP10,BE	: 	: 	: 	: 	: 	20531.27 	21353.57 	21680.12 	22077.03 	22473.21 	22410.97 	22821.93 	23519.22 	23894.45 	24499.52 	24896.9 	25349.81 	25211.23 	26670.34 	28249.9 	28856.1 	29858.32 	29605.09 	30792.58 	31812.28 	33532.1 	33604.44 	34701.76 	35590.31 	36530.07 	38175.91 	37992.65 	38499.91 	39974.83 
A,OLD,TOTAL,MEUR_KP10,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1583.87 	1694.45 	1732.75 	1945.7 	2366.49 	2511.23 	2486.51 	2412.72 	2597.08 	2683.73 	2752.6 	2808.16 	2795.89 	2870.23 	2876.62 	3182.52 	3295.86 	3768.68 	4313.09 
A,OLD,TOTAL,MEUR_KP10,CH	: 	: 	: 	: 	: 	24291.23 	24732.71 	25691.52 	27006.2 	28118.43 	28836.68 	29989.09 	30553.93 	31394.51 	29866.05 	30350.23 	30568.75 	31926.96 	32518.39 	34712.58 	35424.02 	37195.06 	38795.98 	40070.45 	41518.94 	43363.33 	44460.58 	45160.7 	45755.37 	47231.61 	48670.17 	49628.56 	47998.01 p	48885.14 p
A,OLD,TOTAL,MEUR_KP10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	561.3 	601.92 	674.03 	746.59 	773.61 	817.67 	849.5 	891.08 	950.03 	1012.43 	970.31 	1021.62 	1077.52 	1148.6 	1217.09 	1300.35 	1351.76 	1394.89 	1428.82 	1478.35 	1547.37 	1606.26 	1611.02 	1644.42 
A,OLD,TOTAL,MEUR_KP10,CZ	: 	: 	: 	: 	: 	5512.86 	6007.64 	6642.83 	6650.36 	6837.56 	6894.53 	6992.93 	7423.7 	7668.83 	7857.87 	8411.83 	8726.15 	9302.21 	9727.09 	10493.7 	10575.07 	11027.74 	11311.07 	11588.51 	11732.96 	11904.78 	12065.83 	12229.67 	12494.81 	13242.91 	14159.75 	13933.2 	13690.45 	14807.44 
A,OLD,TOTAL,MEUR_KP10,DE	: 	139400.7 	148801.13 	153065.12 	160773.55 	168788.15 	173946.51 	179319.97 	185363.54 	190374.48 	196612.07 	202022.73 	206682.02 	210477.69 	214017.04 	216418.19 	218503.21 	219839.6 	221689.23 	227866.6 	228177.73 	225522.15 	226942.27 	228099.6 	236825.84 	247184.81 	256147.36 	261344.69 	267119.7 	276667.57 	286484.2 	286623.65 	281454.05 	279518.76 p
A,OLD,TOTAL,MEUR_KP10,DK	9910.23 	10189.49 	10449.35 	10830.06 	13301.45 	13380.93 	13527.09 	13559.89 	13661.57 	13839.5 	14062.85 	14465.84 	14738.1 	15277.46 	15739.06 	16934.08 	17504.68 	19498.98 b	19449.37 	20502.99 	20806.3 	21556.04 	21988.45 	24403.9 	26029.17 	26305.8 	25678.84 	26905.23 	27677.62 	28585.03 	28476.08 	27729.9 	26651.71 	26705.39 p
A,OLD,TOTAL,MEUR_KP10,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	551.03 	545.62 	445.55 	476.2 	518.92 	556.77 	590.78 	664.84 	706.4 	793.88 	856.23 	952.96 	787.21 	790.22 	795.19 	826.37 	876.73 	893.59 	888.82 	925.89 	971.62 	1070.55 	1082.66 	1000.94 	1047.17 
A,OLD,TOTAL,MEUR_KP10,EL	: 	: 	: 	: 	: 	10098.66 	10656.02 	11205.39 	12432.76 	12916.6 	15217.14 b	16503.71 	17435.01 	18294.73 	19752.92 	20975.02 	22290.84 	23117.97 	24879.64 	26094.89 	25192.14 	25406.95 	25520.58 	23234.02 	24331.09 	26076.02 	25853.92 	24931.2 	24388.3 	24803.61 	24767.6 	24865.24 	23366.26 	23882.53 p
A,OLD,TOTAL,MEUR_KP10,ES	: 	: 	: 	: 	: 	50481.44 	53026.29 	54683.21 	56489.42 	58313.28 	49518.6 	50070.36 	51603.45 	52650.81 	53228.43 	54927.37 	56794.11 	61506.23 	62678.75 	66717.32 	69238.22 	70828.91 	73047.26 	77121.26 	80056.19 	83130.86 	86282.21 	88277.09 	91877.09 	95556.17 	98969.09 	102537.44 	102414.81 	109950.67 p
A,OLD,TOTAL,MEUR_KP10,FI	8177.7 	8566 	8993.64 	9086.62 	9267.24 	9554.64 	9812.43 	9937.84 	9985.27 	10256.91 	10311.88 	10688.68 	11127.19 	11476.94 	11868.54 	12361.92 	12932.06 	13454.56 	13611.51 	14784.09 	15664.31 	16198.32 	17103.58 	18060.78 	18862.55 	19403.48 	20563.42 	21427.53 	21887.29 	22454.78 	23037.27 	23038.36 	22521.46 	23240.59 
A,OLD,TOTAL,MEUR_KP10,FR	124439.59 	129457.34 	135050 	140720.74 	145527.53 	150168.46 	151488.41 	157603.52 	162792.41 	169497.24 	171504.66 	175778.54 	179477.28 	183430.49 	188932.09 	194298.22 	201742.49 	210043.61 	215635.19 	228198 	234162.13 	240719.82 	246590.71 	253765.22 	258808.17 	263294.44 	267967.51 	270864.48 	273643.25 	277721.55 	277278.81 	278835.71 	280825.35 	278287.01 p
A,OLD,TOTAL,MEUR_KP10,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2522.02 e	2578.21 e	2536.13 e	2476.35 e	2385.31 e	2395.63 e	2447.99 e	2426.69 e	2547.28 e	2591.65 e	2682.38 e	2802.22 e	2908.68 	2930.77 e	2859.9 	3005.37 
A,OLD,TOTAL,MEUR_KP10,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	4751.58 	4723.99 	4898.28 	5235.11 	5563.65 	5802.16 	6139 	6468.21 	6627.82 	6911.36 	6638.24 	6774.69 	7084.36 	7349.57 	7784.45 	7779.09 	7863.09 b	7898.85 	7821.34 	7803.46 	7674.29 	7991.78 	7933.78 	7922.83 	8471.68 
A,OLD,TOTAL,MEUR_KP10,IE	: 	: 	: 	: 	: 	1909.53 	1809.76 	1858.15 	1945.05 	2007.37 	4538.74 b	4839.15 	4636.64 	4576.05 	5472.12 	5954.69 	6494.74 	7765.59 	8337.91 	9155.14 	10591 	10553.68 	11124.71 	11072.87 	11220.79 	11559.99 	11730.62 	12375.39 	12514.52 	13238.75 	13489.41 	13855.27 	13269.34 	13587.62 
A,OLD,TOTAL,MEUR_KP10,IS	: 	: 	: 	: 	: 	233.52 	239.59 	256.41 	282.65 	300.86 	321.83 	327.98 	348.19 	380.49 	385.88 	409.88 	424.68 	473.33 	477.11 	464.99 	440.88 	511.26 	522.89 	543.29 	589.98 	626.24 	688.55 	807.78 	861.05 	916.4 	1006.91 	1007.9 	1000.36 	1072.62 
A,OLD,TOTAL,MEUR_KP10,IT	: 	: 	: 	: 	: 	98272.62 	108862.91 	114813.57 	117541.64 	121561.28 	122515.83 	125066.95 	127397.65 	129296.49 	131106.3 	132348.09 	133222.16 	137022.19 	139177.88 	146442.32 	149135 	152485.17 	156014.03 	163377.57 	169284.64 	175635.4 	177483.87 	179263.16 	180699.38 	172109.71 	176423.58 	178448.01 p	176581.79 p	183895.79 p
A,OLD,TOTAL,MEUR_KP10,LT	: 	: 	: 	: 	: 	: 	818.19 e	921.66 e	1028.88 e	1132.01 e	1169.98 e	1119.7 e	1137.12 e	1204.86 e	1286.22 e	1391.66 e	1451.98 e	1690.89 e	1932.11 e	1979.1 e	1818.03 e	1763.82 e	1838.88 e	1838.46 e	1837.07 e	1858.99 e	1902.66 e	1959.92 e	2140.9 e	2232.92 e	2361.05 p	2437.27 p	2373.84 	2463.42 
A,OLD,TOTAL,MEUR_KP10,LU	: 	: 	: 	: 	: 	1698.56 	1732.26 	1830.39 	1836.63 	1885.22 	1921.77 	1139.73 	1226.33 	1295.58 	1324.98 	1388.24 	1430.55 	1462.09 	1506.13 	1635.32 	1656.33 	1721.38 	1817.32 	1927.11 	2103.87 	2318.95 	2405.19 	2550.34 	2669.69 	2811.74 	3017.7 	3209.82 	3294.18 	3552.45 
A,OLD,TOTAL,MEUR_KP10,LV	: 	: 	: 	: 	: 	: 	: 	810.25 e	904.92 e	1010.53 e	954.22 e	915.17 e	938.79 e	907.73 e	889.6 e	928.01 e	1038.62 e	1061.23 e	1139.65 e	1284.24 e	1552.07 e	1438.31 e	1452.76 e	1487.21 e	1467.82 e	1474.81 e	1494.01 e	1512.61 e	1588.56 e	1596.77 p	1687.04 p	1699.92 p	1686.42 e	1781.6 e
A,OLD,TOTAL,MEUR_KP10,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	216.36 	220.48 	226.99 	232.9 	235.98 	238.33 	237.21 	253.45 p
A,OLD,TOTAL,MEUR_KP10,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	441.23 	474.93 	511.43 	: 	: 	: 	: 	: 	: 
A,OLD,TOTAL,MEUR_KP10,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	286.81 	316.27 	321.69 	330.16 	330.33 	353.21 	369.99 	390.08 	413.64 	433.56 	476.35 	464.64 	483.8 	492.21 	508.96 	521.38 	553.31 	586.31 	597.79 	606.01 	633.58 	661.85 	656.92 	654.61 
A,OLD,TOTAL,MEUR_KP10,NL	: 	: 	: 	: 	: 	33236.68 	33963.68 	34701.77 	36481.3 	38140.06 	39806.45 	40884.9 	42683.66 	44190.15 	45352.16 	45640.53 	47663.86 	48579.27 	48862.12 	51184.12 	53481 	54056.2 	54853.62 	55117.36 	57456.28 	60621.3 	61691.09 	62292.03 	62591.44 	63864.05 	65899.66 	65780.36 	63331.33 	65759 
A,OLD,TOTAL,MEUR_KP10,NO	8612.01 	8870.28 	9144.95 	9346 	9568.47 	9743.88 	10124.63 	10441.23 	11080.01 	11502.5 	11695.73 	11933.46 	12175.62 	12622.73 	13068.9 	13729.2 	14196.16 	14990.88 	15826.76 	16509.76 	17305.17 	18932.11 	20640.78 	21981.76 	23508.2 	24508.16 	25232.52 	25829.97 	26365.88 	27000.01 	27293.45 	28189.36 	28511.16 	29334.44 
A,OLD,TOTAL,MEUR_KP10,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16357.23 	17828.13 	18134.27 	18829.57 	18973.38 	19054.32 	20457.05 	20791.22 	21772.18 	23962.97 	25108.48 	26056.59 	27972.85 	30253.67 	31490.58 	33092.67 	34524.91 	35252.13 	38404.84 	40895 	42912.34 	43552.75 	42533.39 	46879.21 
A,OLD,TOTAL,MEUR_KP10,PT	: 	: 	: 	: 	: 	8043.85 	8514.02 	8721.47 	9429.85 	10172.64 	10903.92 	11686.8 	12220.25 	12687.14 	13659.75 	14422.18 	14832.2 	15145.26 	15830.67 	17023.9 	17333.58 	17936.38 	17597.06 	19054.55 	19240.44 	18872.54 	18982.53 	19085.59 	19440.25 	19891.37 	20292.22 	20351.49 	20395.37 	20459.05 
A,OLD,TOTAL,MEUR_KP10,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3311.22 e	3569.83 e	4057.48 e	3940.47 e	4493.32 e	4870.98 e	5296.28 e	6345.29 e	8270.4 e	9575.35 e	9348.71 e	9462.21 e	9304.35 e	9446.12 e	9750.47 e	10169.16 e	10576.76 	11701.04 	12283.81 	12763.88 	14453.44 	15209.97 	14915.67 	15346.3 
A,OLD,TOTAL,MEUR_KP10,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2707.7 	2937.19 	2783.48 	2751.69 	2907.55 	2891.63 	2906.69 	2779.39 	2746.68 	2668.88 	2769.01 	2854.41 	2927.19 	2887.77 	2698.76 	2919.37 
A,OLD,TOTAL,MEUR_KP10,SE	: 	: 	: 	23665.86 	23644.77 	23610.21 	23785.03 	24058.06 	24157.77 	24207.04 	24202.24 	24147.42 b	24984.36 p	24507.27 p	24973.26 p	25963.8 p	26436.18 p	27247.57 p	29239.26 p	31273.67 p	31944.26 	33108.39 	34790.92 	37061.51 	37161.09 	38335.73 	39613.18 	40338.46 p	40385.09 p	40801.66 p	42058.19 p	42844.45 p	43753.55 p	43176.02 p
A,OLD,TOTAL,MEUR_KP10,SI	: 	: 	: 	: 	: 	: 	1698.57 	1808.03 	1918.68 	1926.06 	2019.18 	2104.23 	2231.41 	2287.64 	2371.48 	2121.81 	1872.64 	1997.72 	1985.06 	2185.7 	2208.14 	2244.07 	2237.54 	2309.14 	2399.3 	2512.64 	2623.02 	3096.99 	3206.85 	3315.95 	3523.96 p	3616.14 p	3658.03 	3643.13 
A,OLD,TOTAL,MEUR_KP10,SK	: 	: 	: 	: 	: 	2024.82 	2139.23 	2290.85 	2437.21 	2422.92 	2493.15 	2592.15 	2772.14 	2854.9 	2967.13 	3150.24 	3224.4 	3438.99 	3499.01 	3722.4 	3849.89 	3878.82 	3985.59 	4127.04 	4446.42 	4641.47 	4689.7 	4850.44 	5009.25 	5161.55 	5354.06 	5424.84 	5072.5 	5573.03 
A,OLD,TOTAL,MEUR_KP10,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11849.27 	12584.25 	14279.06 	17928.29 	21083.29 	23446.13 	25293.2 	28221.01 	28404.49 	32752.42 	34891.49 	36302.02 	38659.29 	41218.23 	43024.6 	45360.31 	51322.54 	50884.08 	53799.87 	52906.85 	52713.2 	51101.97 	45491.8 	56776.51 
A,OLD,TOTAL,MEUR_KP10,UK	: 	: 	: 	: 	: 	102160.21 	106161.18 	113600.1 	114290.61 	121115.72 	134739.18 	135474.51 	132647.78 	136897.39 	140965.33 	147578.15 	151352.64 	162190.17 	166463.1 	177034.35 	183648.48 	186659.21 	196063.35 	199634.48 	202636.72 	208493.41 	200461.2 	211276.92 	213029.86 p	: 	: 	: 	: 	: 
A,OLD,TOTAL,MEUR_KP15,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	613.45 p	646.49 p	648.25 p	704.54 p	683.63 	: 
A,OLD,TOTAL,MEUR_KP15,AT	: 	: 	: 	: 	: 	20681.13 	21229.62 	21458.31 	22091.63 	23188.12 	24049.24 	24560.66 	25101.04 	25828.16 	26454.77 	27087.77 	28191.29 	29063.65 	30216.86 	31502.08 	32173.79 	32296.23 	33266.88 	34180.43 	35373.33 	36255.36 	36875.33 	37433.32 	38206.69 	39918.14 	40501.3 	41828.55 	41481.23 	42106.77 
A,OLD,TOTAL,MEUR_KP15,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	775.12 	840.28 	885.85 	879.92 	873.51 	1014.76 	1072.41 	1131 	1161.33 	1130.62 	1290.21 
A,OLD,TOTAL,MEUR_KP15,BE	: 	: 	: 	: 	: 	22200.17 	23089.05 	23442.24 	23871.62 	24299.72 	24232.76 	24676.79 	25430.77 	25836.77 	26491.04 	26920.51 	27410.43 	27260.51 	28838.4 	30546.17 	31201.52 	32285.17 	32011.4 	33295.53 	34397.78 	36257.59 	36335.76 	37522.58 	38482.96 	39499.17 	41278.79 	41080.99 	41629.12 	43224.16 
A,OLD,TOTAL,MEUR_KP15,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1740.72 	1862.24 	1904.36 	2138.4 	2600.87 	2759.92 	2732.76 	2651.64 	2854.27 	2949.49 	3025.19 	3086.24 	3072.74 	3154.47 	3161.5 	3497.68 	3622.23 	4141.9 	4740.19 
A,OLD,TOTAL,MEUR_KP15,CH	: 	: 	: 	: 	: 	30601.98 	31158.01 	32366.07 	34022.66 	35423.52 	36328.24 	37780.12 	38492.11 	39550.94 	37625.57 	38235.55 	38510.56 	40221.96 	40966.35 	43730.9 	44627.57 	46858.59 	48875.62 	50481.27 	52305.74 	54629.12 	56011.92 	56893.99 	57642.54 	59502.67 	61315.15 	62522.06 	60468.06 p	61585.27 p
A,OLD,TOTAL,MEUR_KP15,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	566.13 	607.11 	679.83 	753.02 	780.27 	824.71 	856.82 	898.75 	958.22 	1021.15 	978.67 	1030.42 	1086.8 	1158.49 	1227.57 	1311.54 	1363.41 	1406.9 	1441.13 	1491.09 	1560.7 	1620.1 	1624.89 	1658.58 
A,OLD,TOTAL,MEUR_KP15,CZ	: 	: 	: 	: 	: 	5422.73 	5909.41 	6534.32 	6541.69 	6725.85 	6781.85 	6878.63 	7302.45 	7543.52 	7729.46 	8274.38 	8583.54 	9150.22 	9568.15 	10322.21 	10402.29 	10847.57 	11126.24 	11399.19 	11541.25 	11710.26 	11868.7 	12029.75 	12290.62 	13026.51 	13928.34 	13705.49 	13466.74 	14565.54 
A,OLD,TOTAL,MEUR_KP15,DE	: 	149676.52 	159770.86 	164347.82 	172626.15 	181230.47 	186769.61 	192538.57 	199029.43 	204408.68 	211105.99 	216915.12 	221916.81 	225994.44 	229794.38 	232371.95 	234610.51 	236045.66 	238032.53 	244665.3 	244999.39 	242147.71 	243672.4 	244913.79 	254285.37 	265407.27 	275029.2 	280610.01 	286811.04 	297061.2 	307603.27 	307753.24 	302201.99 	300124.25 p
A,OLD,TOTAL,MEUR_KP15,DK	10301.89 	10592.21 	10862.35 	11258.15 	13827.08 	13909.81 	14061.62 	14095.78 	14201.65 	14386.54 	14618.51 	15037.62 	15320.64 	15881.34 	16361.19 	17603.48 	18196.58 	20269.64 b	20218.03 	21313.35 	21628.62 	22407.98 	22857.56 	25368.4 	27057.97 	27345.4 	26693.97 	27968.67 	28771.51 	29714.64 	29601.66 	28825.91 	27705 	27760.84 p
A,OLD,TOTAL,MEUR_KP15,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	637.96 	631.69 	515.85 	551.32 	600.77 	644.6 	683.98 	769.72 	817.84 	919.12 	991.31 	1103.3 	911.4 	914.88 	920.64 	956.74 	1015.04 	1034.56 	1029.04 	1071.97 	1124.9 	1239.44 	1253.46 	1158.85 	1212.37 
A,OLD,TOTAL,MEUR_KP15,EL	: 	: 	: 	: 	: 	9774.07 	10313.39 	10845.09 	12033 	12501.36 	14727.94 b	15973.15 	16874.53 	17706.31 	19117.84 	20300.62 	21573.97 	22374.49 	24079.64 	25256 	24382.17 	24590.05 	24699.87 	22486.89 	23548.68 	25237.67 	25022.62 	24129.64 	23604.06 	24006.1 	23971.33 	24065.8 	22615.03 	23114.67 p
A,OLD,TOTAL,MEUR_KP15,ES	: 	: 	: 	: 	: 	52680.05 	55335.57 	57064.64 	58949.69 	60853.19 	51675.33 	52250.85 	53850.43 	54943.91 	55545.99 	57319.38 	59267.75 	64185.18 	65408.45 	69623.39 	72253.35 	73913.93 	76228.37 	80479.98 	83541.95 	86751.21 	90039.42 	92122.17 	95878.22 	99717.75 	103279.04 	107002.59 	106875.22 	114739.2 p
A,OLD,TOTAL,MEUR_KP15,FI	9124.24 	9557.53 	10034.76 	10138.49 	10340.03 	10660.67 	10948.2 	11088.14 	11141.1 	11444.22 	11505.6 	11925.94 	12415.23 	12805.6 	13242.48 	13792.99 	14429.05 	15012 	15187.18 	16495.39 	17477.61 	18073.36 	19083.45 	20151.52 	21045.96 	21649.62 	22943.87 	23907.9 	24421.04 	25054.16 	25704.12 	25705.31 	25128.5 	25930.89 
A,OLD,TOTAL,MEUR_KP15,FR	128927.78 	134125.05 	139920.5 	145795.05 	150776.34 	155584.59 	156951.54 	163287.8 	168663.09 	175610.17 	177690.22 	182117.75 	185949.14 	190046.51 	195746.82 	201305.19 	209019.23 	217617.76 	223410.66 	236427.83 	242607.29 	249401.8 	255482.6 	262917.11 	268143.93 	272788.84 	277631.25 	280635.05 	283512.08 	287736.35 	287277.09 	288890.93 	290954.15 	288323.13 p
A,OLD,TOTAL,MEUR_KP15,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2556.32 e	2613.26 e	2570.63 e	2510.03 e	2417.76 e	2428.21 e	2481.27 e	2459.69 e	2581.94 e	2626.88 e	2718.86 e	2840.33 e	2948.24 	2970.63 e	2898.81 	3046.23 
A,OLD,TOTAL,MEUR_KP15,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	4739.74 	4712.23 	4886.1 	5222.06 	5549.79 	5787.72 	6123.72 	6452.01 	6611.25 	6894.1 	6621.67 	6757.8 	7066.68 	7331.2 	7765.01 	7759.71 	7843.51 b	7879.21 	7801.81 	7783.98 	7655.16 	7971.87 	7914.02 	7903.09 	8450.6 
A,OLD,TOTAL,MEUR_KP15,IE	: 	: 	: 	: 	: 	2010.43 	1905.4 	1956.32 	2047.83 	2113.44 	4778.56 b	5094.86 	4881.65 	4817.87 	5761.3 	6269.31 	6837.87 	8175.94 	8778.48 	9638.94 	11150.65 	11111.37 	11712.5 	11657.94 	11813.64 	12170.82 	12350.4 	13029.36 	13175.79 	13938.26 	14202.19 	14587.46 	13970.58 	14305.61 
A,OLD,TOTAL,MEUR_KP15,IS	: 	: 	: 	: 	: 	315.79 	324 	346.75 	382.22 	406.85 	435.21 	443.52 	470.85 	514.53 	521.84 	554.28 	574.3 	640.08 	645.19 	628.81 	596.2 	691.37 	707.1 	734.69 	797.84 	846.86 	931.14 	1092.36 	1164.41 	1239.24 	1361.64 	1363 	1352.79 	1450.51 
A,OLD,TOTAL,MEUR_KP15,IT	: 	: 	: 	: 	: 	104204.05 	115432.28 	121743.33 	124636.34 	128898.22 	129910.79 	132615.12 	135085.83 	137099.63 	139018.08 	140335.11 	141261.82 	145292 	147577.62 	155280.39 	158136.11 	161686.99 	165430.91 	173237.52 	179501.04 	186235 	188195.74 	190081.92 	191604.27 	182496.8 	187070.92 	189217.59 p	187237.83 p	194994.95 p
A,OLD,TOTAL,MEUR_KP15,LT	: 	: 	: 	: 	: 	: 	889.18 e	1001.64 e	1118.17 e	1230.23 e	1271.49 e	1216.86 e	1235.79 e	1309.41 e	1397.84 e	1512.42 e	1577.96 e	1837.61 e	2099.76 e	2150.82 e	1975.78 e	1916.86 e	1998.42 e	1997.97 e	1996.47 e	2020.29 e	2067.76 e	2129.98 e	2326.66 e	2426.67 e	2565.93 p	2648.76 p	2579.82 	2677.17 
A,OLD,TOTAL,MEUR_KP15,LU	: 	: 	: 	: 	: 	1865.02 	1902.01 	2009.76 	2016.63 	2069.97 	2110.1 	1251.42 	1346.51 	1422.54 	1454.82 	1524.27 	1570.74 	1605.36 	1653.73 	1795.58 	1818.65 	1890.07 	1995.4 	2115.97 	2310.04 	2546.21 	2640.88 	2800.24 	2931.31 	3087.31 	3313.42 	3524.37 	3617.02 	3900.56 
A,OLD,TOTAL,MEUR_KP15,LV	: 	: 	: 	: 	: 	: 	: 	888.14 e	991.9 e	1107.66 e	1045.94 e	1003.13 e	1029.03 e	994.99 e	975.11 e	1017.22 e	1138.46 e	1163.25 e	1249.2 e	1407.68 e	1701.25 e	1576.56 e	1592.41 e	1630.16 e	1608.91 e	1616.56 e	1637.62 e	1658.02 e	1741.26 e	1750.24 p	1849.19 p	1863.32 p	1848.53 e	1952.85 e
A,OLD,TOTAL,MEUR_KP15,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	233.75 	238.21 	245.24 	251.64 	254.96 	257.49 	256.29 	273.83 p
A,OLD,TOTAL,MEUR_KP15,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	492.95 	530.6 	571.37 	: 	: 	: 	: 	: 	: 
