geo,year,net_migration_rate,natural_growth_rate,total_growth_rate
AT,2024,5.4,-1.2281151903917018,4.171884809608299
BE,2024,7.2,-0.23846806355808567,6.961531936441914
BG,2024,6.1,-7.3397159963701695,-1.2397159963701698
CY,2024,10.6,3.3010301490637595,13.901030149063759
CZ,2024,3.4,-2.5595027042201064,0.8404972957798935
DE,2024,5.4,-3.9618580056124153,1.438141994387585
DK,2024,5.3,0.0013420006444958095,5.301342000644496
EE,2024,1.0,-4.412640841151476,-3.412640841151476
EL,2024,6.4,-5.551783945741248,0.848216054258752
ES,2024,11.8,-2.435453369257047,9.364546630742954
FI,2024,8.3,-2.5958934311422626,5.704106568857738
FR,2024,2.2,0.2524563268102488,2.452456326810249
HR,2024,8.1,-4.922621037414354,3.177378962585646
HU,2024,0.4,-5.134367774562327,-4.734367774562327
IE,2024,12.8,3.534777203648723,16.334777203648724
IT,2024,4.1,-4.75935468871855,-0.6593546887185502
LT,2024,8.0,-6.364412238715877,1.635587761284123
LU,2024,11.7,2.958113235622349,14.658113235622348
LV,2024,-2.5,-7.358369811772323,-9.858369811772324
MT,2024,18.7,0.3425368670832719,19.04253686708327
NL,2024,6.0,-0.3356194318635149,5.664380568136485
PL,2024,0.9,-4.279569874855855,-3.379569874855855
PT,2024,13.4,-3.1703823951857406,10.22961760481426
RO,2024,3.7,-5.340479565939582,-1.6404795659395814
SE,2024,2.7,0.6807429357164675,3.3807429357164676
SI,2024,5.4,-2.180372504236213,3.2196274957637874
SK,2024,0.4,-1.4074544761753074,-1.0074544761753073
